X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X91,X94,X95,X96,X97,X98,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X136,X137,X138,X139,X140,X141,X142,X143,fiscal_year,X742,X736
Office of the Administrator of the Ship-source Oil Pollution Fund,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,4,35493
Office of the Auditor General of Canada,17,1,18,17,1,5,0,3,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,2015-2016,1.25,100950
Office of the Commissioner of Lobbying,5,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.25,6425
Office of the Commissioner of Official Languages,22,1,23,22,1,5,0,6,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015-2016,0.83,110000
Office of the Correctional Investigator of Canada,11,3,14,13,1,4,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.5,30471
Office of the Information Commissioner of Canada,120,0,120,119,1,23,0,10,0,87,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015-2016,1.63,170236
Office of the Ombudsman for the Department of National Defence and the Canadian Forces,3,1,4,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015-2016,0.48,31170
Office of the Privacy Commissioner of Canada,91,8,99,95,4,30,2,26,2,31,0,3,1,1,1,1,0,10,1,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,4,0,13,0,0,0,0,2015-2016,1.64,112337
Office of the Public Sector Integrity Commissioner of Canada,44,2,46,30,16,1,0,3,0,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2015-2016,1,43000
Office of the Superintendent of Financial Institutions Canada,37,4,41,35,6,11,0,6,1,19,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,10,1,0,0,0,2015-2016,0.68,104862
Old Port of Montreal,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.02,1000
Oshawa Port Authority,3,0,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2015-2016,0.03,2375
Pacific Pilotage Authority Canada,7,0,7,6,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,2500
Parc Downsview Park Inc.,7,0,7,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.2,10000
Parks Canada Agency,175,77,252,169,83,85,7,25,11,47,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,1,0,0,0,2015-2016,6,407450
Parole Board of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Patented Medicine Prices Review Board,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,10000
Pierre Eliott Trudeau Foundation,4,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,5765
Polar Knowledge Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Port Metro Vancouver,22,0,22,21,1,3,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2015-2016,1.1,45000
PPP Canada Inc.,3,2,5,4,1,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.97,106241
Prince Rupert Port Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,1000
Privy Council Office,559,250,809,620,189,330,46,15,31,137,0,32,4,0,3,0,0,170,0,0,0,0,0,0,1,10,0,108,0,0,1,0,0,1,1,0,0,0,0,0,0,1,20,0,48,5,0,0,0,2015-2016,19.96,1522821
Public Health Agency of Canada,75,37,112,76,36,17,3,22,3,16,14,15,6,0,2,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,2015-2016,4.76,454853
Public Prosecution Service of Canada,31,4,35,32,3,4,1,9,1,16,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2015-2016,1.6,127921
Public Safety Canada,346,51,397,356,41,222,24,8,14,70,8,30,27,5,14,4,0,0,43,19,76,13,16,23,24,40,0,26,0,5,30,1,0,0,0,0,0,0,0,0,0,0,24,0,15,2,0,0,0,2015-2016,9.97,818854
Public Sector Pension Investment Board,4,0,4,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.5,54732
Public Service Commission of Canada,180,10,190,178,12,5,1,14,7,145,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,2015-2016,0.73,73642
Public Services and Procurement Canada,863,220,1083,886,197,193,4,246,17,237,166,73,5,0,1,0,0,3,18,21,2,1,0,0,0,5,4,7,0,0,37,0,0,0,0,0,0,0,0,0,3,0,228,0,169,22,0,0,0,2015-2016,33.53,2662410
Quebec Port Authority,19,0,19,19,0,7,1,2,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,4,0,0,0,2015-2016,3,70000
RCMH-MRCF Inc. (Royal Canadian Mint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Revera Inc. (Public Sector Pension Investment Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,500
Ridley Terminals Inc.,5,0,5,5,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2015-2016,0.3,49000
Royal Canadian Mint,34,26,60,58,2,29,1,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2015-2016,1.41,138107
Royal Canadian Mounted Police,3854,612,4466,3758,708,427,79,417,143,2524,264,632,53,21,377,170,1,29,1,0,1,1144,693,8,143,181,0,275,4,5,10,0,9,0,2,0,0,0,0,0,3,17,12,2,29,19,0,0,0,2015-2016,21,1735224
Royal Canadian Mounted Police External Review Committee,9,0,9,6,3,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015-2016,0.1,10000
Saguenay Port Authority,2,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016,0.01,7700
Sahtu Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Sahtu Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Saint John Port Authority,2,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Seaway International Bridge Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,2,0
Security Intelligence Review Committee,19,5,24,16,8,8,5,1,1,4,0,0,8,0,0,0,0,5,3,12,2,6,0,6,12,11,0,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2015-2016,1,69
Sept-Îles Port Authority,7,0,7,6,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.5,0
Shared Services Canada,222,40,262,232,30,41,2,60,3,39,77,20,1,2,2,0,0,0,4,13,3,1,1,0,0,0,0,0,1,2,54,0,0,1,0,0,0,0,0,0,0,1,36,0,70,16,0,0,0,2015-2016,11.07,1002871
Social Sciences and Humanities Research Council,18,1,19,17,2,2,6,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,2015-2016,0.38,25023
St. John's Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Standards Council of Canada,4,0,4,4,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016,0.01,26246
Statistics Canada,146,1,147,144,3,38,19,10,22,57,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,2015-2016,2.85,250294
Status of Women Canada,15,5,20,19,1,7,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2015-2016,1,74460
Sustainable Development Technology Canada,26,1,27,24,3,1,0,0,0,25,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,11,10,1,0,0,2015-2016,2.25,115000
Telefilm Canada,34,9,43,40,3,1,0,33,0,0,0,13,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,18,0,0,0,0,2015-2016,1.5,165453
The National Battlefields Commission,3,0,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.06,3723
Thunder Bay Port Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.02,520
Toronto Port Authority,5,4,9,8,1,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2015-2016,6,153250
Transport Canada,1032,127,1159,909,250,476,25,212,46,249,24,143,30,8,12,7,2,47,27,20,8,5,3,2,19,26,6,52,0,0,15,0,0,2,0,0,0,0,0,0,0,16,195,9,140,57,0,0,0,2015-2016,24.57,1704149
Transportation Safety Board of Canada,89,29,118,94,24,23,6,41,1,18,0,17,7,2,12,2,0,2,0,2,0,0,1,1,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,26,0,10,1,0,0,0,2015-2016,5.95,459668
Treasury Board of Canada Secretariat,503,83,586,464,122,162,12,51,16,177,85,44,0,0,1,1,0,13,1,9,3,0,0,0,0,0,0,4,1,0,16,0,7,3,0,0,0,0,0,0,0,1,28,0,20,11,0,0,0,2015-2016,7.5,525632
Trois-Rivières Port Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,105
Veterans Affairs Canada,262,77,339,291,48,54,5,7,14,152,30,16,1,0,1,0,0,1,1,0,0,2,0,0,1,1,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,1,6,0,7,1,0,0,0,2015-2016,6.96,602485
Veterans Review and Appeal Board,12,2,14,14,0,2,0,0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1.1,80955
VIA Rail Canada,33,13,46,45,1,14,2,5,3,9,0,6,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,0,0,0,2015-2016,0.97,76630
Western Economic Diversification Canada,2,1,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2015-2016,0.47,47689
Windsor Port Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,500
Windsor-Detroit Bridge Authority,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.65,54938
Yukon Environment Socio-Economic Assessment Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Yukon Surface Rights Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Administrative Tribunals Support Service of Canada,18,6,24,17,7,2,0,6,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1.94,158674
Agriculture and Agri-Food Canada,222,59,281,245,36,32,4,54,79,53,0,37,3,0,6,0,0,1,17,0,0,0,0,0,1,3,0,2,0,0,30,0,0,0,1,0,0,0,0,0,0,6,63,0,23,8,0,0,0,2016-2017,8.82,734967
Asia Pacific Foundation of Canada,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,3500
Atlantic Canada Opportunities Agency,32,3,35,32,3,7,1,10,4,10,0,14,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,3,6,0,0,0,2016-2017,2.13,187019
Atlantic Pilotage Authority Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Atomic Energy of Canada Limited,40,6,46,44,2,5,8,7,2,18,0,10,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,0,0,2016-2017,1.75,267183
Bank of Canada,84,15,99,83,16,50,2,21,0,11,0,9,3,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,38,0,31,5,0,0,0,2016-2017,6.32,685310
Belledune Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
British Columbia Treaty Commission,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Business Development Bank of Canada,9,0,9,8,1,0,2,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,3,96243
Canada Border Services Agency,6265,1606,7871,6392,1479,285,128,2538,178,2809,327,687,957,54,47,81,1,0,63,1,721,4,2,2,1,2163,1,116,4,6,1336,0,0,0,0,0,0,0,0,0,1,1,31,0,10,25,0,0,0,2016-2017,61.75,1789043
Canada Council for the Arts,26,1,27,26,1,0,2,2,16,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017,0.37,48285
Canada Deposit Insurance Corporation,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,2016-2017,0.3,45172
Canada Development Investment Corporation,6,0,6,5,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016-2017,0.5,50383
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Foundation for Innovation,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.04,6970
Canada GEN Investment Corporation,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Hibernia Holding Corporation,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Lands Company CLC Limited (Canada Lands Company Limited),11,0,11,10,1,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.2,18000
Canada Lands Company Limited,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.1,5000
Canada Mortgage and Housing Corporation,75,8,83,72,11,24,2,11,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2,1,0,0,0,2016-2017,1.54,333451
Canada Post Corporation,104,26,130,104,26,27,2,15,11,49,0,17,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,2,0,0,0,2016-2017,4.68,407502
Canada Revenue Agency,2747,1493,4240,3112,1128,95,21,648,41,1813,129,702,24,2,90,2,0,6,38,0,0,8,20,0,296,748,0,9,0,0,68,0,2,1,1,0,0,0,0,0,3,1,50,0,41,2,0,0,0,2016-2017,75,5976996
Canada School of Public Service,20,4,24,23,1,1,1,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,2016-2017,1.33,101402
Canada Science and Technology Museum Corporation,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2016-2017,0.13,8900
Canada-Newfoundland and Labrador Offshore Petroleum Board,20,3,23,22,1,2,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2016-2017,1,95388
Canada-Nova-Scotia Offshore Petroleum Board,7,0,7,7,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017,0.2,18300
Canadian Air Transport Security Authority,45,7,52,49,3,34,2,3,0,6,0,2,2,0,0,0,0,0,2,2,3,0,0,0,1,4,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,2016-2017,1.2,120000
Canadian Broadcasting Corporation,164,7,171,142,29,28,19,23,2,92,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,1,21,0,6,1,1,0,0,2016-2017,6,574779
Canadian Centre for Occupational Health and Safety,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,7685
Canadian Commercial Corporation,18,18,36,31,5,8,1,0,3,6,0,1,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,11,0,11,3,0,0,0,2016-2017,1.5,163856
Canadian Dairy Commission,5,0,5,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-2017,0.05,4600
Canadian Environmental Assessment Agency,51,8,59,53,6,7,0,22,13,3,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,8,1,0,0,0,2016-2017,3.85,335262
Canadian Food Inspection Agency,334,52,386,319,67,50,8,137,32,107,0,21,7,5,11,2,0,0,15,0,0,0,0,0,0,4,4,0,0,0,21,0,0,1,2,0,0,0,0,0,1,10,62,0,110,49,0,0,0,2016-2017,13.07,1054689
Canadian Grain Commission,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.1,5996
Canadian Heritage,566,54,620,479,141,170,30,108,30,104,124,24,5,0,10,4,0,0,28,2,1,0,0,0,0,0,0,4,0,0,31,0,0,1,0,0,0,0,0,0,0,0,118,0,9,3,0,0,0,2016-2017,8.95,780839
Canadian Human Rights Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canadian Institutes of Health Research,25,8,33,31,2,18,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,82000
Canadian Museum for Human Rights,4,0,4,3,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-2017,0.1,7000
Canadian Museum of History and Canadian War Museum,10,1,11,7,4,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2016-2017,0.9,71664
Canadian Museum of Immigration at Pier 21,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.05,6285
Canadian Museum of Nature,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2016-2017,1.25,14150
Canadian Northern Economic Development Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0.12,15930
Canadian Nuclear Safety Commission,287,10,297,283,14,14,5,18,237,13,0,11,9,9,18,1,0,0,18,18,18,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,2,34,34,18,1,0,0,0,2016-2017,3.9,402893
